step x y goal target bpos byaw spread
0 -3.000000 2.600000 5.37238308 1.41509717 4.42718872 0.75000000 0.000000
1 -3.277849 3.028338 5.85892228 10.61333548 8.06329765 2.85989966 0.130337
2 -2.760240 3.260530 5.63629792 6.09072760 4.67475364 1.13651041 0.358763
3 -2.382177 2.886708 5.10466809 0.09748620 0.08440912 0.01966469 0.661290
4 -2.046177 2.550666 4.62947759 0.06096752 0.06527411 0.01372476 1.308434
5 -1.748698 2.243791 4.20209551 0.04992176 0.05631749 0.01063653 2.373818
6 -1.475296 1.969734 3.81499146 0.08614548 0.05972504 0.01451226 3.875494
7 -1.232324 1.710381 3.45972168 0.03137862 0.01853006 0.00421650 5.806881
8 -1.012369 1.466843 3.13192747 0.00668075 0.00751353 0.00187237 8.154372
9 -0.807989 1.242672 2.82891511 0.01465676 0.00218005 0.00023066 10.898526
10 -0.616273 1.038478 2.54901959 0.02547787 0.01117935 0.00275530 14.012659
11 -0.435955 0.855375 2.29206845 0.03637602 0.01821826 0.00475439 17.460189
12 -0.265999 0.694777 2.05828445 0.06117450 0.03964300 0.01012414 21.195206
13 -0.109753 0.554239 1.84837590 0.05347245 0.03213662 0.00838282 25.162174
14 0.032781 0.433407 1.66218301 0.06092867 0.03761607 0.00998628 29.301473
15 0.158875 0.328278 1.49887463 0.04466985 0.02728898 0.00695678 33.552835
16 0.268429 0.236649 1.35694578 0.03613087 0.01824640 0.00474127 37.859366
17 0.362840 0.155768 1.23339068 0.03916474 0.02176433 0.00561006 42.174518
18 0.442972 0.081819 1.12472841 0.03504314 0.01977833 0.00506517 46.463776
19 0.511206 0.012054 1.02721093 0.03190058 0.01829672 0.00447978 50.706289
20 0.569965 -0.055366 0.93779606 0.02608072 0.01457326 0.00334833 54.892180
21 0.622423 -0.120804 0.85409790 0.02522766 0.01380894 0.00313722 59.020394
22 0.671199 -0.184201 0.77444089 0.02417933 0.01290958 0.00286692 63.095491
23 0.718156 -0.244526 0.69833905 0.02338266 0.01278945 0.00275946 67.122583
24 0.764263 -0.300624 0.62594367 0.02072419 0.01111221 0.00223083 71.104525
25 0.809515 -0.351215 0.55812913 0.01605830 0.00851203 0.00136435 75.039125
26 0.853695 -0.395108 0.49585859 0.01554300 0.00753241 0.00096094 78.919285
27 0.895241 -0.431782 0.44061386 0.01189489 0.00527765 0.00024353 82.731609
28 0.932951 -0.461481 0.39313961 0.00940486 0.00435304 0.00051834 86.460023
29 0.965919 -0.485038 0.35355205 0.00984627 0.00451388 0.00052341 90.088500
30 0.993182 -0.504197 0.32123658 0.00686006 0.00482903 0.00103780 93.603360
31 1.014797 -0.520535 0.29488028 0.00621743 0.00497326 0.00128181 96.995442
32 1.031539 -0.535617 0.27265216 0.00867446 0.00393013 0.00053923 100.261629
33 1.044284 -0.550723 0.25290088 0.01039208 0.00472601 0.00003337 103.403927
34 1.054164 -0.566829 0.23413687 0.00923749 0.00459324 0.00007605 106.428968
35 1.062476 -0.584364 0.21528673 0.00516579 0.00418094 0.00073490 109.346744
36 1.070837 -0.602799 0.19583450 0.00432172 0.00444299 0.00102829 112.168873
37 1.080104 -0.621382 0.17583403 0.00255726 0.00495536 0.00138714 114.906141
38 1.090885 -0.638929 0.15570107 0.00323165 0.00403927 0.00093794 117.567028
39 1.103001 -0.654529 0.13610162 0.00285830 0.00398113 0.00100295 120.156731
40 1.115931 -0.667395 0.11786071 0.00291704 0.00404086 0.00104227 122.676990
41 1.128886 -0.677030 0.10189140 0.00419665 0.00372571 0.00059238 125.126426
42 1.140794 -0.683581 0.08897619 0.00404870 0.00369693 0.00064950 127.501617
43 1.150826 -0.687613 0.07943663 0.00356528 0.00350910 0.00071638 129.798674
44 1.158419 -0.689760 0.07319730 0.00386321 0.00372664 0.00055116 132.014006
45 1.163457 -0.691149 0.06927350 0.00376302 0.00337779 0.00071220 134.146235
46 1.166251 -0.692585 0.06659932 0.00508619 0.00376678 0.00036817 136.196238
47 1.167234 -0.694850 0.06414928 0.00507616 0.00391752 0.00029139 138.167158
48 1.167312 -0.698352 0.06112279 0.00619678 0.00447886 0.00005618 140.064432
49 1.167169 -0.703283 0.05710000 0.00525649 0.00389611 0.00030823 141.894750
50 1.167592 -0.709300 0.05202639 0.00489379 0.00363092 0.00044296 143.665170
51 1.169146 -0.715843 0.04602891 0.00506216 0.00370013 0.00041290 145.382261
52 1.171893 -0.722297 0.03946483 0.00369300 0.00306882 0.00080547 147.051135
53 1.175799 -0.727907 0.03276930 0.00340182 0.00317718 0.00072148 148.675135
54 1.180542 -0.732211 0.02636399 0.00355754 0.00311396 0.00072232 150.255983
55 1.185595 -0.734876 0.02088606 0.00436120 0.00325719 0.00064285 151.793771
56 1.190215 -0.735968 0.01710702 0.00380143 0.00311392 0.00076734 153.287401
57 1.193932 -0.735740 0.01549719 0.00391004 0.00325700 0.00074966 154.735455
58 1.196357 -0.734679 0.01574806 0.00369314 0.00336486 0.00080152 156.136739
59 1.197433 -0.733371 0.01682562 0.00387600 0.00328950 0.00074244 157.490979
