step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,-2.69200000,2.59388342,0.00000000,0.00000000,1.41509717,5.13120067,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,-2.31478598,2.58848669,1.02911435,-0.93147745,0.24927088,4.84759878,0.20401023,0.04950158,2.30463232,0.04745071,1.63336215,0.06250000,1,1
3,-1.96914429,2.25708367,1.08600246,-0.87802755,0.17142489,4.36875585,0.14236584,0.03585705,2.84222161,0.23562392,3.68976725,0.05769477,0,1
4,-1.65274635,1.96319210,1.13547212,-0.82501657,0.09895117,3.93694973,0.09544963,0.02306227,5.39136297,0.68809437,6.75172953,0.05325899,0,1
5,-1.36516502,1.70092886,1.16002992,-0.79523241,0.06036206,3.54783368,0.06500376,0.01450232,8.48152985,1.49331671,10.55767134,0.04916424,0,1
6,-1.09855875,1.47279543,1.23732191,-0.70724413,0.05675376,3.19752902,0.03584689,0.00984472,16.32864663,2.67009664,14.83010317,0.04538431,0,1
7,-0.86066380,1.26358112,1.21290828,-0.74307740,0.01464739,2.88111857,0.00504089,0.00104690,18.55436976,4.21004023,19.05865518,0.04189500,0,1
8,-0.64754816,1.07331627,1.20058600,-0.75920661,0.00922524,2.59574969,0.01267238,0.00351036,19.24382270,6.08814809,23.37564894,0.03867396,0,1
9,-0.45475351,0.90276261,1.20975956,-0.74800708,0.00996096,2.33876750,0.00342654,0.00089472,20.09287791,8.27122414,27.80854584,0.03570057,0,1
10,-0.28040751,0.74974110,1.21794077,-0.73937350,0.02085171,2.10732763,0.00764411,0.00203309,21.27172187,10.72202748,32.29587475,0.03295578,0,1
11,-0.12274718,0.61270999,1.22585572,-0.72886910,0.03339211,1.89911522,0.01643034,0.00466422,22.15415832,13.40214522,36.85043547,0.03042202,0,1
12,0.02048718,0.49049278,1.24043476,-0.71425325,0.05397036,1.71174555,0.03529405,0.00969485,25.90390479,16.27314036,41.46661761,0.02808306,0,1
13,0.14885642,0.38010009,1.23581901,-0.71560819,0.04965680,1.54338234,0.03055503,0.00857908,27.37770177,19.29903339,46.09633956,0.02592393,0,1
14,0.26483974,0.28097470,1.24196461,-0.71060908,0.05755582,1.39191722,0.03675370,0.01048478,30.27629150,22.44469719,50.74574756,0.02393081,0,1
15,0.36805821,0.19042964,1.23157447,-0.72201822,0.04218918,1.25560147,0.02665243,0.00729266,35.47447596,25.67937761,55.31524276,0.02209092,0,1
16,0.46022107,0.10840726,1.22601903,-0.72515332,0.03597704,1.13319720,0.01901966,0.00541771,40.01573924,28.97459118,59.88448782,0.02039249,0,1
17,0.54315436,0.03447082,1.22822205,-0.72403973,0.03834606,1.02315231,0.02224576,0.00621019,41.20793438,32.30447158,64.36684600,0.01882464,0,1
18,0.61735718,-0.03260214,1.22618597,-0.72731668,0.03464445,0.92419281,0.02043744,0.00569617,44.05981440,35.64740601,68.74300691,0.01737733,0,1
19,0.68380567,-0.09355609,1.22537858,-0.73124556,0.03155632,0.83508993,0.01888337,0.00502348,46.77338852,38.98449195,72.98062049,0.01604130,0,1
20,0.74296696,-0.14900238,1.22147371,-0.73520029,0.02607971,0.75503466,0.01519938,0.00383657,48.49592440,42.29998590,77.11148305,0.01480798,0,1
21,0.79583901,-0.19910228,1.22046867,-0.73512049,0.02530546,0.68325281,0.01445708,0.00362828,49.02908327,45.57976348,81.14277073,0.01366949,0,1
22,0.84309794,-0.24448938,1.22001004,-0.73610279,0.02436255,0.61880535,0.01355757,0.00334784,49.21204601,48.81188459,85.02604974,0.01261853,0,1
23,0.88524541,-0.28554184,1.21895835,-0.73613458,0.02348763,0.56106313,0.01341546,0.00320506,51.42981263,51.98688983,88.78517239,0.01164837,0,1
24,0.92272088,-0.32286202,1.21716936,-0.73794388,0.02097944,0.50924509,0.01173110,0.00264693,52.09944085,55.09678694,92.39246270,0.01075280,0,1
25,0.95582924,-0.35691869,1.21368323,-0.74075488,0.01651372,0.46274429,0.00912087,0.00172164,55.70682541,58.13545374,95.85539131,0.00992609,0,1
26,0.98538625,-0.38791991,1.21412936,-0.74233362,0.01607521,0.42090504,0.00816768,0.00126806,58.72619422,61.09800231,99.17406170,0.00916294,0,1
27,1.01136695,-0.41609446,1.21056908,-0.74311591,0.01261333,0.38350403,0.00569754,0.00054439,63.01837653,63.98151798,102.40880189,0.00845846,0,1
