step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,-2.71200000,2.35040000,0.00000000,0.00000000,1.41509717,4.99161539,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.00000000,1,0
2,-2.31584711,2.08260292,1.41459263,-0.43915294,0.37772462,4.51495517,0.26882397,0.06829340,4.17266564,0.07262208,2.45034014,0.00000000,1,1
3,-1.98700936,1.80015654,1.10954611,-0.85954690,0.14206488,4.08170638,0.10739239,0.02776300,9.19332903,0.36988716,5.54194112,0.00000000,0,1
4,-1.68524619,1.54921403,1.15635703,-0.81382787,0.07732209,3.68931304,0.05700239,0.01610675,12.82310251,0.94796265,9.30361944,0.00000000,0,1
5,-1.40952264,1.32588117,1.18687408,-0.77716991,0.03017439,3.33450012,0.01585376,0.00592835,15.37901789,1.83137921,13.40228417,0.00000000,0,1
6,-1.15504998,1.13109936,1.24123421,-0.70309610,0.06245187,3.01409940,0.05385559,0.01327230,18.39014451,3.02239335,17.76226639,0.00000000,0,1
7,-0.92609829,0.95345484,1.22986346,-0.71936433,0.04278283,2.72434439,0.04118488,0.00960699,19.05612471,4.50826918,21.94415935,0.00000000,0,1
8,-0.72088503,0.79097576,1.21153981,-0.73903560,0.01591808,2.46260139,0.01594944,0.00271416,22.80266809,6.26842361,26.11740686,0.00000000,0,1
9,-0.53520774,0.64488413,1.21325349,-0.73081210,0.02332018,2.22635298,0.01779316,0.00346738,25.72660120,8.27581613,30.44660738,0.00000000,0,1
10,-0.36790227,0.51228079,1.20755757,-0.73640058,0.01555832,2.01287613,0.01112364,0.00137290,26.83961305,10.50003516,34.83856350,0.00000000,0,1
11,-0.21618057,0.39238810,1.21253208,-0.73660145,0.01834596,1.81951037,0.01528984,0.00251298,29.68535041,12.91045566,39.34687606,0.00000000,0,1
12,-0.07887495,0.28392709,1.21408627,-0.73741406,0.01888991,1.64454443,0.01652260,0.00262217,31.01634612,15.47821329,43.95888516,0.00000000,0,1
13,0.04490561,0.18536519,1.21050595,-0.74275938,0.01275937,1.48632132,0.01174826,0.00093580,32.67462862,18.17479027,48.63549138,0.00000000,0,1
14,0.15604028,0.09543192,1.20255842,-0.75143971,0.00293568,1.34335663,0.00234193,0.00198823,34.72125339,20.97299862,53.35026331,0.00000000,0,1
15,0.25676699,0.01469089,1.20527683,-0.74562050,0.00685747,1.21426548,0.00569007,0.00064868,39.73216448,23.84733734,58.12588418,0.00000000,0,1
16,0.34790702,-0.05809159,1.20614232,-0.74345996,0.00897219,1.09763368,0.00609669,0.00048248,41.09305852,26.77445424,62.82374944,0.00000000,0,1
17,0.43041718,-0.12397622,1.20738779,-0.74438973,0.00927656,0.99205015,0.00518603,0.00088993,43.26547916,29.73370093,67.41942042,0.00000000,0,1
18,0.50492015,-0.18342332,1.20648980,-0.74321692,0.00938763,0.89674140,0.00559264,0.00068985,45.02776867,32.70751764,71.95105637,0.00000000,0,1
19,0.57219573,-0.23723647,1.20570749,-0.74397695,0.00829774,0.81059524,0.00442453,0.00144996,47.18217292,35.67956212,76.34868836,0.00000000,0,1
20,0.63268624,-0.28603050,1.20230516,-0.74550765,0.00504926,0.73287966,0.00434758,0.00194941,49.58043520,38.63611246,80.63401580,0.00000000,0,1
21,0.68691286,-0.33058389,1.19754694,-0.75012824,0.00245641,0.66269773,0.00666533,0.00341548,52.37427806,41.56492406,84.75139321,0.00000000,0,1
22,0.73613456,-0.37081072,1.19963884,-0.74961343,0.00052903,0.59912908,0.00445377,0.00260386,55.44935072,44.45592451,88.74656121,0.00000000,0,1
23,0.78083542,-0.40712221,1.20176858,-0.74905543,0.00200502,0.54153866,0.00360662,0.00211628,56.73672485,47.30140074,92.60082987,0.00000000,0,1
24,0.82144367,-0.43971192,1.20383803,-0.74659833,0.00512853,0.48947276,0.00453768,0.00108876,60.59047832,50.09503057,96.35981713,0.00000000,0,1
25,0.85816705,-0.46928111,1.20397882,-0.74772429,0.00458365,0.44232665,0.00414062,0.00136628,61.30280901,52.83134745,99.92837630,0.00000000,0,1
26,0.89142267,-0.49602240,1.20457979,-0.74783626,0.00506519,0.39965559,0.00400887,0.00143850,61.86635955,55.50626775,103.37211459,0.00000000,0,1
