step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,-0.60000000,-0.75000000,0.00000000,0.00000000,1.41509717,1.80000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,-0.52240000,-0.67800000,0.00000000,0.00000000,1.41509717,1.72390422,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,-0.33721855,-0.67916503,1.19837510,-0.69763415,0.05239105,1.53884972,0.05458434,0.02786523,2.48062930,0.00560288,3.67146351,0.06250000,1,1
3,-0.17054147,-0.68361402,1.19120749,-0.74049571,0.01294758,1.37214832,0.02586216,0.01091181,6.38860476,0.03985699,9.46293453,0.06250000,1,1
4,-0.01988997,-0.68439624,1.19162547,-0.71421843,0.03674852,1.22165273,0.04921759,0.02613244,9.22850020,0.11501242,15.42784382,0.06250000,1,1
5,0.11300835,-0.68613584,1.18877498,-0.72799313,0.02470432,1.08886615,0.03501137,0.01821846,9.45861984,0.23537194,21.29478542,0.04538431,0,1
6,0.23112068,-0.68929224,1.19450819,-0.74609876,0.00673644,0.97077937,0.01127609,0.00567939,11.13959062,0.39899232,27.04017226,0.03295578,0,1
7,0.33607723,-0.69250360,1.19850048,-0.75037315,0.00154525,0.86583393,0.00445580,0.00123300,13.09366402,0.60254134,32.52471538,0.02393081,0,1
8,0.42889608,-0.69523881,1.19655729,-0.74838616,0.00380220,0.77304595,0.01079560,0.00540403,16.08423326,0.84154760,37.48657601,0.01737733,0,1
9,0.51161349,-0.69903009,1.20078108,-0.76131986,0.01134677,0.69027090,0.00593688,0.00308884,19.16902208,1.11056514,42.29731553,0.01261853,0,1
10,0.58529472,-0.70264692,1.20350731,-0.76210093,0.01259895,0.61652648,0.01001280,0.00491550,20.35989326,1.40477240,46.82287637,0.00916294,0,1
11,0.65080306,-0.70522428,1.20405576,-0.75344022,0.00531830,0.55101919,0.00134038,0.00026420,24.28072648,1.71940123,50.81752906,0.00665366,0,1
12,0.70885764,-0.70745426,1.20209653,-0.75079648,0.00224272,0.49298170,0.00700755,0.00323332,26.34953745,2.04979310,54.56980600,0.00483155,0,1
13,0.76031056,-0.70979851,1.20000033,-0.75253997,0.00253997,0.44152345,0.00563161,0.00180492,28.46531603,2.39148480,58.11667326,0.00350842,0,1
14,0.80595690,-0.71159216,1.19825424,-0.74745648,0.00308499,0.39591051,0.00932437,0.00417048,32.24398012,2.74052968,61.49738310,0.00254764,0,1
15,0.84634836,-0.71332706,1.19531534,-0.74697360,0.00557720,0.35554801,0.01110778,0.00486442,33.52722668,3.09352189,64.59361689,0.00184996,0,1
16,0.88266917,-0.71532063,1.19849304,-0.74979671,0.00152061,0.31922017,0.00321449,0.00131299,39.28000581,3.44742424,67.71298547,0.00134335,0,1
17,0.91506980,-0.71760925,1.19834820,-0.75333672,0.00372319,0.28676537,0.00292834,0.00141822,41.54336434,3.80035825,70.57327603,0.00097547,0,1
18,0.94409768,-0.71987568,1.19929011,-0.75395983,0.00402296,0.25766931,0.00265128,0.00131615,42.40918769,4.15040011,73.15745474,0.00070834,0,1
19,0.97001415,-0.72223557,1.19899241,-0.75586549,0.00595141,0.23165568,0.00372310,0.00172314,44.26064275,4.49608004,75.52584380,0.00051436,0,1
20,0.99315713,-0.72453092,1.19860452,-0.75632226,0.00647444,0.20840501,0.00530858,0.00242794,44.91139722,4.83608044,77.77785390,0.00037350,0,1
21,1.01396858,-0.72669629,1.19962536,-0.75613622,0.00614765,0.18748534,0.00590453,0.00279292,45.50096468,5.16933744,79.92898677,0.00027122,0,1
22,1.03261699,-0.72884766,1.19971394,-0.75712922,0.00713496,0.16871423,0.00765457,0.00361054,45.83191820,5.49516917,81.93639378,0.00019694,0,1
23,1.04935566,-0.73079470,1.19997801,-0.75622244,0.00622248,0.15186363,0.00658595,0.00308086,46.37956958,5.81297437,83.75850803,0.00014301,0,1
24,1.06439208,-0.73260771,1.20024146,-0.75593533,0.00594024,0.13671869,0.00564807,0.00268035,46.74363483,6.12232621,85.51617335,0.00010385,0,1
25,1.07781113,-0.73425225,1.19947440,-0.75524131,0.00526760,0.12319948,0.00423334,0.00198597,47.32267707,6.42293663,87.12967910,0.00007541,0,1
26,1.08969541,-0.73584771,1.19777257,-0.75570202,0.00612164,0.11120877,0.00452421,0.00176809,49.44029865,6.71452467,88.59161840,0.00005476,0,1
