step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,1.20000000,-0.75000000,1.20000000,-0.75000000,0.00000000,0.00000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,1.22000000,-0.75000000,1.20000000,-0.75000000,0.00000000,0.02000000,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,0,0
2,1.23755641,-0.75165252,1.22546435,-0.77360340,0.03472108,0.03759275,3.72457897,1.13764287,4.13484212,0.00020000,0.23130316,0.04538431,0,1
3,1.24911890,-0.75062012,1.20710994,-0.75178123,0.00732967,0.04912282,2.43586169,0.71515338,10.56868323,0.00070806,0.49915849,0.03295578,0,1
4,1.25719893,-0.74901852,1.20512373,-0.74783234,0.00556340,0.05720735,1.36161302,0.39340076,12.91926917,0.00138007,0.72901246,0.02393081,0,1
5,1.26191393,-0.74719790,1.19759790,-0.74581794,0.00482283,0.06197730,1.21484871,0.35102741,14.53218679,0.00212766,0.90322982,0.01737733,0,1
6,1.26523676,-0.74530079,1.20442890,-0.74419525,0.00730139,0.06540579,1.61502697,0.46886048,17.46241839,0.00284304,1.02912160,0.01261853,0,1
7,1.26665127,-0.74372781,1.20205560,-0.74601212,0.00448650,0.06694574,1.44784301,0.41953226,18.02313298,0.00351318,1.14629182,0.00916294,0,1
8,1.26688274,-0.74237398,1.20323434,-0.74657439,0.00471124,0.06731610,0.86502979,0.24947609,22.19373491,0.00408877,1.25306607,0.00665366,0,1
9,1.26637179,-0.74095873,1.20602157,-0.74408440,0.00844119,0.06698476,0.60109336,0.17312780,25.73693723,0.00455850,1.32667033,0.00483155,0,1
10,1.26497671,-0.73962451,1.20504803,-0.74277489,0.00881390,0.06579988,0.50152602,0.14442799,26.79462027,0.00493193,1.37807500,0.00350842,0,1
11,1.26322142,-0.73865338,1.20732694,-0.74432583,0.00926716,0.06423156,0.66397052,0.19128047,29.30017327,0.00521188,1.41162205,0.00254764,0,1
12,1.26116434,-0.73777758,1.20872462,-0.74335612,0.01096632,0.06237358,0.80174561,0.23115976,30.13451669,0.00541448,1.43146895,0.00184996,0,1
13,1.25875052,-0.73699949,1.20828331,-0.74246049,0.01120078,0.06017173,0.84144640,0.24279657,31.32657886,0.00555785,1.44409866,0.00134335,0,1
14,1.25581963,-0.73647273,1.20499190,-0.74325329,0.00839269,0.05743534,0.72571935,0.20941952,33.68229746,0.00565776,1.45530450,0.00097547,0,1
15,1.25280631,-0.73600372,1.20500978,-0.74229815,0.00918783,0.05462968,0.62629785,0.18007390,39.40164664,0.00572745,1.46346859,0.00070834,0,1
16,1.24985223,-0.73550000,1.20582432,-0.74047359,0.01116580,0.05191815,0.62603894,0.17985774,40.86923724,0.00578780,1.46732090,0.00051436,0,1
17,1.24708960,-0.73515651,1.20756829,-0.74069400,0.01199503,0.04937367,0.61155233,0.17560827,43.10730442,0.00585760,1.47224416,0.00037350,0,1
18,1.24428127,-0.73482024,1.20660315,-0.73953812,0.01237144,0.04681086,0.62370531,0.17911234,44.82902233,0.00594722,1.47968963,0.00027122,0,1
