step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,1.20000000,-0.75000000,1.20000000,-0.75000000,0.00000000,0.00000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,1.21603770,-0.73805043,1.20000000,-0.75000000,0.00000000,0.02000000,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,0,0
2,1.23103828,-0.73134910,1.22562429,-0.76826968,0.03147039,0.03621092,2.95616871,0.88369463,4.24115294,0.00020000,0.20317952,0.04538431,0,1
3,1.24222441,-0.72968837,1.20172846,-0.75428647,0.00462184,0.04685577,1.80755562,0.52558610,10.54709471,0.00066039,0.42630573,0.03295578,0,1
4,1.25023850,-0.72840880,1.20178982,-0.75190878,0.00261666,0.05468169,0.81157591,0.23378441,13.26256232,0.00126504,0.66004898,0.02393081,0,1
5,1.25512275,-0.72823416,1.19405578,-0.75120025,0.00606418,0.05926440,0.75496044,0.21818214,15.16327217,0.00195121,0.82971072,0.01737733,0,1
6,1.25861110,-0.72954477,1.19804631,-0.74795370,0.00282918,0.06207799,1.30834853,0.37934665,18.20589061,0.00261241,0.93435100,0.01261853,0,1
7,1.26030013,-0.73133613,1.19645253,-0.74983417,0.00355135,0.06312247,1.18985967,0.34467662,18.69347795,0.00321862,1.05363065,0.00916294,0,1
8,1.26105750,-0.73263191,1.20041390,-0.75003766,0.00041561,0.06347967,0.63338030,0.18309415,22.54081306,0.00373213,1.17415195,0.00665366,0,1
9,1.26115380,-0.73353500,1.20438552,-0.74740835,0.00509406,0.06333153,0.35682226,0.10333674,25.97138310,0.00415736,1.25428517,0.00483155,0,1
10,1.26036477,-0.73435901,1.20370701,-0.74572793,0.00565619,0.06235821,0.29732309,0.08617079,26.97072397,0.00450064,1.30692571,0.00350842,0,1
11,1.25915288,-0.73561525,1.20568049,-0.74778127,0.00609842,0.06087680,0.42637712,0.12343555,29.60006333,0.00475787,1.34142115,0.00254764,0,1
12,1.25754264,-0.73704425,1.20669998,-0.74708465,0.00730678,0.05898310,0.54985410,0.15915199,30.55987097,0.00494338,1.36401534,0.00184996,0,1
13,1.25544560,-0.73857184,1.20604253,-0.74564866,0.00744623,0.05661110,0.64583648,0.18689838,31.73236120,0.00507176,1.37715555,0.00134335,0,1
14,1.25263180,-0.74028221,1.20289384,-0.74467271,0.00606253,0.05352141,0.67672429,0.19556309,33.81359583,0.00515666,1.38420058,0.00097547,0,1
15,1.24916831,-0.74234302,1.20344973,-0.74385529,0.00704685,0.04976095,0.55934157,0.16108180,39.48363572,0.00521392,1.39364986,0.00070834,0,1
16,1.24457118,-0.74411171,1.20441821,-0.74212936,0.00902594,0.04495845,0.54997442,0.15826709,40.95507441,0.00527161,1.39804403,0.00051436,0,1
17,1.23986407,-0.74504044,1.20628747,-0.74179260,0.01033894,0.04017140,0.57918807,0.16652093,43.12303099,0.00536061,1.40361068,0.00037350,0,1
18,1.23545864,-0.74538906,1.20550772,-0.74123402,0.01035265,0.03575718,0.54601452,0.15707842,44.90794812,0.00550619,1.41923948,0.00027122,0,1
19,1.23159218,-0.74527575,1.20585279,-0.73942094,0.01209015,0.03194345,0.61292468,0.17614496,46.98799334,0.00572436,1.43979682,0.00019694,0,1
20,1.22795409,-0.74501233,1.20313800,-0.73934570,0.01110681,0.02839556,0.61648201,0.17718767,49.37054713,0.00601666,1.47298752,0.00014301,0,1
21,1.22451537,-0.74490503,1.20031975,-0.74163375,0.00837236,0.02503921,0.52735619,0.15187917,52.39650852,0.00639004,1.51993867,0.00010385,0,1
22,1.22163331,-0.74503351,1.20151816,-0.74450340,0.00570240,0.02219609,0.41244748,0.11914936,55.37971387,0.00685255,1.58077539,0.00007541,0,1
23,1.21929659,-0.74527897,1.20329325,-0.74617060,0.00505072,0.01986571,0.32688956,0.09479184,56.61437750,0.00739349,1.64786777,0.00005476,0,1
24,1.21724050,-0.74506933,1.20305563,-0.74219220,0.00838443,0.01793171,0.63471229,0.18248132,60.23320092,0.00799492,1.70062282,0.00003976,0,1
25,1.21553151,-0.74508820,1.20384913,-0.74449276,0.00671904,0.01628968,0.50008284,0.14408104,61.06614679,0.00864033,1.77815025,0.00002887,0,1
26,1.21414602,-0.74520276,1.20485559,-0.74561034,0.00654567,0.01493732,0.40885444,0.11808100,61.68735166,0.00931817,1.85415287,0.00002097,0,1
27,1.21300062,-0.74556956,1.20540215,-0.74838086,0.00563958,0.01373481,0.22457358,0.06559898,63.31488677,0.01001511,1.93346624,0.00001522,0,1
28,1.21181665,-0.74580710,1.20338891,-0.74752230,0.00419806,0.01253849,0.28871684,0.08387871,65.81411745,0.01072360,1.99876952,0.00001106,0,1
29,1.21089905,-0.74591191,1.20458011,-0.74646989,0.00578266,0.01164052,0.31662133,0.09182060,67.26631472,0.01144552,2.06665066,0.00000803,0,1
30,1.20996067,-0.74573463,1.20311490,-0.74377266,0.00696293,0.01083551,0.53662707,0.15455848,69.96144478,0.01216692,2.11979164,0.00000583,0,1
31,1.20923418,-0.74553292,1.20409121,-0.74339656,0.00776810,0.01025792,0.52675782,0.15173616,71.19966885,0.01288722,2.18549834,0.00000423,0,1
32,1.20853494,-0.74533175,1.20339853,-0.74324383,0.00756279,0.00972819,0.51200413,0.14752402,72.41422941,0.01359706,2.24818379,0.00000307,0,1
33,1.20798801,-0.74513003,1.20407364,-0.74308051,0.00802957,0.00935547,0.54227680,0.15616676,73.06793826,0.01429711,2.30579522,0.00000223,0,1
34,1.20736899,-0.74488218,1.20259491,-0.74243648,0.00799627,0.00897185,0.59953049,0.17252418,74.68926301,0.01498149,2.35744099,0.00000162,0,1
35,1.20690753,-0.74485181,1.20346023,-0.74446201,0.00653012,0.00861498,0.48448457,0.13966361,76.88371454,0.01565542,2.42066467,0.00000118,0,1
36,1.20650564,-0.74475813,1.20348736,-0.74379525,0.00711762,0.00835468,0.53347714,0.15365416,77.19468374,0.01631449,2.46991403,0.00000085,0,1
37,1.20609534,-0.74468455,1.20288481,-0.74392580,0.00672443,0.00808747,0.53851621,0.15509302,77.59741901,0.01695688,2.51918412,0.00000062,0,1
38,1.20580433,-0.74459305,1.20362090,-0.74367879,0.00728482,0.00793255,0.56001076,0.16123667,78.39785433,0.01758478,2.56641824,0.00000045,0,1
39,1.20547247,-0.74446966,1.20282258,-0.74326827,0.00729953,0.00778027,0.61390799,0.17664453,79.94364439,0.01819376,2.60792868,0.00000033,0,1
40,1.20518287,-0.74439559,1.20286052,-0.74366332,0.00695241,0.00763358,0.56887751,0.16376717,81.34955015,0.01878714,2.65452364,0.00000024,0,1
