step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready
0,1.20000000,-0.75000000,1.20000000,-0.75000000,0.00000000,0.00000000,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0
1,1.22000000,-0.75000000,1.20000000,-0.75000000,0.00000000,0.02000000,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0
2,1.24051162,-0.75154608,1.22546435,-0.77360340,0.03472108,0.04054111,3.72457897,1.13764287,4.13484212,0.00020000,0.23130316,0.06250000,1,1
3,1.25727870,-0.75013675,1.20737518,-0.75185255,0.00760429,0.05727887,2.25209120,0.65873044,10.65520950,0.00082223,0.54366731,0.06250000,1,1
4,1.27215094,-0.74782594,1.20507833,-0.74852213,0.00528900,0.07218369,1.11349949,0.32085688,12.86561492,0.00185510,0.84740730,0.06250000,1,1
5,1.28478388,-0.74476242,1.19756698,-0.74581073,0.00484454,0.08494550,1.06380631,0.30676244,14.43388115,0.00331935,1.12594547,0.06250000,1,1
6,1.29674453,-0.74109605,1.20440658,-0.74386892,0.00755037,0.09715341,1.33690974,0.38653998,17.24841348,0.00516622,1.39081699,0.06250000,1,1
7,1.30719512,-0.73740088,1.20211267,-0.74725553,0.00346345,0.10793300,1.04685156,0.30205636,18.02677721,0.00744605,1.67352131,0.06250000,1,1
8,1.31658267,-0.73364784,1.20322878,-0.75025284,0.00323866,0.11772388,0.40936563,0.11832960,22.55020537,0.01010630,1.95837256,0.06250000,1,1
9,1.32512551,-0.72944721,1.20581776,-0.74906526,0.00589238,0.12680225,0.12286597,0.03624122,26.06336967,0.01311800,2.22642892,0.06250000,1,1
10,1.33253390,-0.72487078,1.20480256,-0.74810122,0.00516430,0.13489519,0.05227740,0.01603910,27.06259343,0.01647164,2.48602871,0.06250000,1,1
11,1.33921876,-0.72006870,1.20718935,-0.74823958,0.00740174,0.14239995,0.21554214,0.06268123,29.61796533,0.02011719,2.74019986,0.06250000,1,1
12,1.34510897,-0.71482794,1.20836441,-0.74583812,0.00934262,0.14931071,0.35148385,0.10146927,30.31211333,0.02404106,2.98104745,0.06250000,1,1
13,1.35008358,-0.70926131,1.20773402,-0.74406882,0.00974648,0.15551438,0.40207523,0.11593885,31.29533911,0.02822698,3.21169757,0.06250000,1,1
14,1.35397392,-0.70379768,1.20467625,-0.74632812,0.00594559,0.16075641,0.27834780,0.08078985,33.83555771,0.03263992,3.44127502,0.06250000,1,1
15,1.35724147,-0.69872304,1.20558219,-0.75154768,0.00579277,0.16539107,0.02870869,0.00644330,39.87443950,0.03720196,3.67599115,0.06250000,1,1
16,1.35990928,-0.69342080,1.20634183,-0.75060311,0.00637044,0.16962365,0.06618639,0.01715538,41.30994119,0.04186910,3.88783270,0.06250000,1,1
17,1.36213472,-0.68806758,1.20837256,-0.75113176,0.00844870,0.17356062,0.09697184,0.02589310,43.47502250,0.04663750,4.08886930,0.06250000,1,1
18,1.36363420,-0.68250972,1.20723339,-0.74986188,0.00723471,0.17700590,0.07859544,0.02069532,45.24642145,0.05150963,4.28016987,0.06250000,1,1
19,1.36460592,-0.67689190,1.20765361,-0.74973926,0.00765805,0.18011080,0.11347116,0.03053896,47.35355647,0.05646948,4.46341108,0.06250000,1,1
20,1.36478634,-0.67130659,1.20501635,-0.75035706,0.00502904,0.18261214,0.11794024,0.03176539,49.72869963,0.06151533,4.63681146,0.06250000,1,1
21,1.36422130,-0.66581732,1.20227425,-0.75149851,0.00272355,0.18454094,0.10152412,0.02697192,52.64077659,0.06661259,4.79576707,0.06250000,1,1
22,1.36330349,-0.66029467,1.20308046,-0.75120981,0.00330951,0.18631983,0.05486954,0.01386308,55.59868349,0.07173185,4.94719113,0.06250000,1,1
23,1.36209726,-0.65472013,1.20440035,-0.75050985,0.00442978,0.18802599,0.02092460,0.00427640,56.79036535,0.07689956,5.08947790,0.06250000,1,1
24,1.36058007,-0.64936584,1.20538689,-0.75240046,0.00589753,0.18950776,0.09957889,0.02669461,60.83424413,0.08215063,5.24473424,0.06250000,1,1
25,1.35871243,-0.64401775,1.20583362,-0.75208280,0.00619429,0.19084515,0.07192971,0.01884924,61.48502422,0.08748572,5.37261942,0.06250000,1,1
26,1.35652751,-0.63865439,1.20645077,-0.75134260,0.00658901,0.19209035,0.05112687,0.01296103,62.00654687,0.09292821,5.49579727,0.06250000,1,1
27,1.35393979,-0.63328486,1.20602761,-0.75047022,0.00604592,0.19318354,0.00459554,0.00180684,63.43514067,0.09850882,5.60603221,0.06250000,1,1
28,1.35091389,-0.62820208,1.20499321,-0.75242564,0.00555120,0.19393229,0.06134835,0.01569507,65.94458950,0.10425455,5.73700939,0.06250000,1,1
29,1.34767112,-0.62307629,1.20597810,-0.75100972,0.00606278,0.19472131,0.04822003,0.01209037,67.48438258,0.11015346,5.84966096,0.06250000,1,1
30,1.34409935,-0.61822701,1.20572212,-0.75265094,0.00630636,0.19526582,0.11243242,0.03026776,70.48959183,0.11625439,5.97923872,0.06250000,1,1
