step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,1.29600000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,1.36000000,3.85000000,-3.12000000,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.42528000,1.05480947,-0.90956588,0.21573493,5.09488434,0.17531193,0.04329949,2.34009191,0.03850522,1.69115011,0.06250000,1,1,1.44000000,4.85688938,-3.99281700,-2.37419555,-1.41975309,0.70670051
3,-2.42001419,2.12680225,1.21559482,-0.73211174,0.02373159,4.62390462,0.01096076,0.00224771,3.19292874,0.28639202,4.93065344,0.05769477,0,1,1.52000000,4.60230586,-3.41341751,-2.18918386,-1.39822538,0.75224771
4,-1.95367360,1.77155491,1.17322976,-0.78886013,0.04718851,4.03780836,0.05168252,0.01304896,5.58287129,1.02535833,9.65237522,0.05325899,0,1,1.60000000,3.98171853,-3.04762233,-2.25162905,-1.40235027,0.73695104
5,-1.63265377,1.52628194,1.17726511,-0.78113434,0.03855156,3.63392169,0.04537293,0.01048546,8.46596357,2.08048600,14.11400839,0.04916424,0,1,1.68000000,3.59133784,-2.73708064,-2.24526106,-1.39681583,0.73951454
6,-1.41561198,1.36081494,1.22559877,-0.71758352,0.04130526,3.36109591,0.02227117,0.00667854,16.45825811,3.26387100,18.18885719,0.04538431,0,1,1.76000000,3.37904697,-2.45593841,-2.17836916,-1.39469794,0.75667854
7,-1.14019324,1.15759245,1.20995575,-0.74615053,0.01067405,3.01917429,0.00190042,0.00011689,18.56258086,4.79210114,22.23255677,0.04189500,0,1,1.84000000,3.02010517,-2.24062310,-2.19876352,-1.40144316,0.75011689
8,-0.88997022,0.97317504,1.20148474,-0.75944106,0.00955710,2.70874653,0.01183485,0.00354669,19.22801814,6.64530289,26.44811700,0.03867396,0,1,1.92000000,2.70019165,-2.03010462,-2.21158453,-1.40242124,0.74645331
9,-0.66627697,0.80571422,1.20928385,-0.74877184,0.00936473,2.42965768,0.00395125,0.00115252,20.08695321,8.78865898,30.88392949,0.03570057,0,1,2.00000000,2.43183696,-1.81171599,-2.20362018,-1.40158323,0.74884748
10,-0.46528950,0.65553562,1.21630001,-0.74048787,0.01887249,2.17915568,0.00572166,0.00163104,21.29254262,11.18334835,35.48411035,0.03295578,0,1,2.08000000,2.18999921,-1.61743381,-2.19436827,-1.40101042,0.75163104
11,-0.24048547,0.48912946,1.22405211,-0.72958103,0.03155057,1.90011584,0.01445725,0.00441537,22.16457118,13.96027999,40.52873243,0.03042202,0,1,2.16000000,1.92068336,-1.40100925,-2.18554515,-1.40026379,0.75441537
12,-0.12416721,0.40420321,1.23570326,-0.71700479,0.04861488,1.75658869,0.02993953,0.00879913,26.21552858,16.71288310,45.32592871,0.02808306,0,1,2.24000000,1.78645577,-1.28080880,-2.17011031,-1.40172690,0.75879913
13,0.02197072,0.29885369,1.23268986,-0.71714864,0.04634478,1.57729105,0.02712474,0.00813595,27.50497367,19.60017233,50.19068157,0.02592393,0,1,2.32000000,1.59908020,-1.15179024,-2.17288712,-1.40080202,0.75813595
14,0.15439415,0.20361403,1.23874001,-0.71211160,0.05418782,1.41515770,0.03328457,0.01012217,30.39514275,22.59415497,55.07604310,0.02393081,0,1,2.40000000,1.43927680,-1.02908711,-2.16672415,-1.40076204,0.76012217
15,0.27337157,0.11834219,1.22892542,-0.72347959,0.03924298,1.26990488,0.02373560,0.00688918,35.66029622,25.66445493,59.87854528,0.02209092,0,1,2.48000000,1.27681376,-0.93840788,-2.17628779,-1.40105349,0.75688918
16,0.37941579,0.04109325,1.22512640,-0.72545412,0.03512601,1.13981884,0.01814518,0.00549329,39.95187341,28.78350998,64.66156598,0.02039249,0,1,2.56000000,1.13733548,-0.84643706,-2.18187555,-1.39913297,0.75549329
