step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-0.07645719,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.59571840,0.00000000,0.00000000,1.41509717,5.20281414,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-0.06745914,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.59010571,0.95201154,-1.01750754,0.36477193,4.97785393,0.29162963,0.07104978,2.30544906,0.02325085,1.13720165,0.06250000,1,1,0.32000000,4.38084299,-0.05847274,-2.48982929,-1.43235466,0.67895022
4,-2.15938335,2.58521222,1.04976876,-0.92074491,0.22742746,4.73382478,0.18449909,0.04624307,2.87270203,0.13065345,2.72571932,0.06250000,1,1,0.40000000,4.09952595,-0.04950965,-2.38329549,-1.42103990,0.70375693
5,-1.82466967,2.58103633,1.16497823,-0.79329481,0.05568631,4.49938103,0.06052299,0.01389409,5.84061474,0.39987427,4.83464932,0.05769477,0,1,0.48000000,3.82528877,-4.01472837,-2.26039783,-1.40389029,0.73610591
6,-1.51206487,2.35502331,1.20707774,-0.74362929,0.00952262,4.12267700,0.00939830,0.00030865,9.14297718,0.89170966,7.31917035,0.05325899,0,1,0.56000000,3.49002168,-3.67706684,-2.20860345,-1.39621730,0.75030865
7,-1.22481673,2.05275409,1.25759340,-0.68647412,0.08574694,3.70609857,0.06000299,0.01527676,16.17569393,1.67391204,10.25635565,0.04916424,0,1,0.64000000,3.19546983,-3.23955170,-2.14042679,-1.39283120,0.76527676
8,-0.96210990,1.78308959,1.20755727,-0.74821462,0.00776530,3.33035465,0.00182851,0.00072276,18.57798747,2.86896479,13.82997505,0.04538431,0,1,0.72000000,2.80990795,-2.98444640,-2.20171101,-1.40064489,0.74927724
9,-0.72806378,1.53821135,1.19061872,-0.76798099,0.02028113,2.99221341,0.02425527,0.00629275,19.15107960,4.51269381,17.87691689,0.04189500,0,1,0.80000000,2.49867159,-2.70929372,-2.22420334,-1.40158626,0.74370725
10,-0.52070038,1.31486419,1.20587236,-0.75138141,0.00603265,2.68783815,0.00770680,0.00209188,20.08493353,6.58828432,22.23736546,0.03867396,0,1,0.88000000,2.25831210,-2.41688682,-2.20764339,-1.40098659,0.74790812
11,-0.33426678,1.11449548,1.21801932,-0.73946880,0.02087109,2.41460513,0.00748358,0.00179927,21.29862394,9.05804510,26.75823385,0.03570057,0,1,0.96000000,2.03957723,-2.15819635,-2.19253779,-1.40056510,0.75179927
12,-0.16585096,0.93563120,1.22754162,-0.72773843,0.03541353,2.16953944,0.01817743,0.00475537,22.18104922,11.87593746,31.37439849,0.03295578,0,1,1.04000000,1.83955943,-1.92601900,-2.18182742,-1.39958042,0.75475537
13,-0.01388578,0.77597742,1.24683930,-0.70943573,0.06196273,1.94990405,0.04243946,0.01083329,25.61175826,14.99215069,36.05953363,0.03042202,0,1,1.12000000,1.67126533,-1.70946862,-2.15757440,-1.40108437,0.76083329
14,0.12385450,0.63402272,1.23934890,-0.71303220,0.05399032,1.75317085,0.03434524,0.00896790,27.30831890,18.35609538,40.73788782,0.02808306,0,1,1.20000000,1.48815380,-1.54087018,-2.16565814,-1.39951859,0.75896790
15,0.24730148,0.50670675,1.24549938,-0.70800613,0.06191671,1.57700549,0.04050097,0.01077492,30.20054283,21.91975777,45.44521582,0.02592393,0,1,1.28000000,1.33882637,-1.37989900,-2.15951454,-1.39887934,0.76077492
16,0.35799145,0.39245152,1.23391376,-0.72028621,0.04508938,1.41921593,0.02906380,0.00742188,35.40795115,25.63725137,50.08290576,0.02393081,0,1,1.36000000,1.18379074,-1.25575057,-2.17093803,-1.39967397,0.75742188
17,0.45641556,0.28901191,1.22590893,-0.72501022,0.03599669,1.27767898,0.01881073,0.00496639,40.12853150,29.46741509,54.72993956,0.02209092,0,1,1.44000000,1.04804042,-1.13587163,-2.18144750,-1.39689382,0.75496639
18,0.54351680,0.19526509,1.22896942,-0.72333924,0.03937034,1.15086761,0.02289640,0.00595917,41.26810363,33.37355208,59.31879162,0.02039249,0,1,1.52000000,0.93942689,-1.02028449,-2.17717829,-1.39815208,0.75595917
19,0.62127768,0.11086823,1.22655105,-0.72683931,0.03523316,1.03731077,0.02069399,0.00536918,44.13700275,37.32261847,63.81692776,0.01882464,0,1,1.60000000,0.83571890,-0.92243434,-2.17942724,-1.39776328,0.75536918
20,0.69062418,0.03472508,1.22594122,-0.73070118,0.03233251,0.93555180,0.01934251,0.00479687,46.81145590,41.28666511,68.19587252,0.01737733,0,1,1.68000000,0.74455012,-0.83521272,-2.18070549,-1.39863815,0.75479687
21,0.75237624,-0.03418525,1.22171116,-0.73486845,0.02646391,0.84424983,0.01534946,0.00359281,48.54127819,45.24200245,72.47792949,0.01604130,0,1,1.76000000,0.65842129,-0.75730596,-2.18473031,-1.39843724,0.75359281
22,0.80711704,-0.09663949,1.22056213,-0.73486271,0.02553309,0.76238899,0.01446930,0.00335646,49.07953604,49.16890726,76.67131728,0.01480798,0,1,1.84000000,0.58467262,-0.68238783,-2.18564303,-1.39820058,0.75335646
23,0.85566082,-0.15302855,1.21999796,-0.73590199,0.02446778,0.68916209,0.01347787,0.00306422,49.26461114,53.05043648,80.72843634,0.01366949,0,1,1.92000000,0.51932951,-0.61623162,-2.18666582,-1.39803713,0.75306422
24,0.89877541,-0.20391483,1.21906490,-0.73590253,0.02371095,0.62365476,0.01344131,0.00296776,51.47609022,56.87217823,84.66783021,0.01261853,0,1,2.00000000,0.46032332,-0.55564354,-2.18664345,-1.39849284,0.75296776
25,0.94622389,-0.26093330,1.21715026,-0.73778371,0.02105633,0.55098870,0.01166008,0.00241182,52.14937102,60.62263244,88.46285502,0.01164837,0,1,2.08000000,0.39519994,-0.49014733,-2.18846836,-1.39827412,0.75241182
26,0.97019638,-0.29060412,1.21352464,-0.74069102,0.01641868,0.51366747,0.00895798,0.00151025,55.76262517,64.34654777,92.16362224,0.01075280,0,1,2.16000000,0.35645221,-0.45887662,-2.19124471,-1.39810521,0.75151025
27,0.99964250,-0.32806475,1.21408086,-0.74225922,0.01606830,0.46708937,0.00810460,0.00112680,58.78002114,67.92301382,95.67507974,0.00992609,0,1,2.24000000,0.31640782,-0.41681222,-2.19201751,-1.39859845,0.75112680
28,1.02591620,-0.36241927,1.21012906,-0.74316193,0.01222117,0.42488115,0.00548576,0.00033317,63.05464779,71.40533762,99.10118583,0.00916294,0,1,2.32000000,0.27500970,-0.37782241,-2.19531336,-1.39714887,0.75033317
29,1.04891053,-0.39358082,1.20726569,-0.74373046,0.00959674,0.38712099,0.00445327,0.00049714,67.11008962,74.79183797,102.39841864,0.00845846,0,1,2.40000000,0.23909702,-0.34239455,-2.19863975,-1.39575956,0.74950286
30,1.06890019,-0.42182266,1.20722654,-0.74311338,0.00998240,0.35339430,0.00463375,0.00052092,67.69948606,78.07964555,105.58436705,0.00780814,0,1,2.48000000,0.21041792,-0.30916535,-2.19888676,-1.39550196,0.74947908
31,1.08642192,-0.44735338,1.20502804,-0.74510915,0.00701438,0.32325679,0.00505542,0.00105094,69.94673360,81.26675555,108.62383713,0.00720782,0,1,2.56000000,0.18234258,-0.28242968,-2.20070766,-1.39499435,0.74894906
32,1.10168314,-0.47058941,1.20482734,-0.74578493,0.00640859,0.29620344,0.00520074,0.00128757,70.47308354,84.35252188,111.55750939,0.00665366,0,1,2.64000000,0.15960504,-0.25695621,-2.20136402,-1.39498132,0.74871243
33,1.11499724,-0.49175728,1.20773692,-0.74545371,0.00897378,0.27187272,0.00400430,0.00047400,76.64436677,87.33730869,114.39843704,0.00614210,0,1,2.72000000,0.14315827,-0.23283711,-2.19812963,-1.39645936,0.74952600
34,1.12684463,-0.51096310,1.20900905,-0.74432003,0.01065012,0.24998069,0.00484685,0.00010097,78.62116686,90.22226427,117.16146486,0.00566987,0,1,2.80000000,0.12672251,-0.21017959,-2.19629356,-1.39687682,0.75010097
35,1.13737689,-0.52832125,1.20762541,-0.74445844,0.00942633,0.23035434,0.00467663,0.00003652,79.97433275,93.00940170,119.80847670,0.00523395,0,1,2.88000000,0.10888769,-0.19132560,-2.19695592,-1.39644972,0.74996348
36,1.14651594,-0.54407979,1.20418672,-0.74667310,0.00534761,0.21275262,0.00429630,0.00071951,86.69702095,95.70082904,122.32431475,0.00483155,0,1,2.96000000,0.09046207,-0.17693282,-2.19923041,-1.39577318,0.74928049
37,1.15419512,-0.55857985,1.20358514,-0.74731129,0.00448134,0.19682419,0.00461862,0.00102999,87.31873277,98.29857559,124.76190532,0.00446008,0,1,3.04000000,0.07738988,-0.16219960,-2.20030842,-1.39539169,0.74897001
38,1.16070004,-0.57190941,1.20216162,-0.74836494,0.00271036,0.18237529,0.00519598,0.00140151,88.53638894,100.80487557,127.10624710,0.00411717,0,1,3.12000000,0.06493110,-0.14940223,-2.20152404,-1.39503256,0.74859849
39,1.16619354,-0.58416873,1.20267293,-0.74784569,0.00343302,0.16924210,0.00414821,0.00091845,92.17617815,103.22237667,129.40222728,0.00380063,0,1,3.20000000,0.05619199,-0.13602649,-2.19970389,-1.39586237,0.74908155
40,1.17089864,-0.59537186,1.20246145,-0.74816504,0.00307015,0.15734278,0.00407805,0.00097893,92.36169677,105.55389165,131.59369125,0.00350842,0,1,3.28000000,0.04770930,-0.12494191,-2.19981696,-1.39592606,0.74902107
41,1.17491897,-0.60563325,1.20267878,-0.74842728,0.00310634,0.14652924,0.00414923,0.00102372,92.82001273,107.80233952,133.70786618,0.00323868,0,1,3.36000000,0.04073412,-0.11492952,-2.19998308,-1.39585080,0.74897628
42,1.17834510,-0.61506790,1.20373817,-0.74763921,0.00442123,0.13665872,0.00380149,0.00054891,95.04185256,109.97072207,135.77617815,0.00298968,0,1,3.44000000,0.03564720,-0.10465309,-2.19824222,-1.39662931,0.74945109
43,1.18131896,-0.62368679,1.20356016,-0.74764711,0.00426742,0.12768715,0.00376873,0.00060859,95.16499175,112.06210686,137.75131017,0.00275982,0,1,3.52000000,0.02977647,-0.09630915,-2.19843277,-1.39657259,0.74939141
44,1.18384198,-0.63159177,1.20348873,-0.74842212,0.00382896,0.11950561,0.00355782,0.00065352,96.54241404,114.07951903,139.64341580,0.00254764,0,1,3.60000000,0.02472663,-0.08973541,-2.19837211,-1.39683644,0.74934648
45,1.18594130,-0.63892838,1.20320073,-0.74749367,0.00406526,0.11195782,0.00380646,0.00051377,98.69072798,116.02587303,141.51174698,0.00235177,0,1,3.68000000,0.02007102,-0.08178757,-2.19810907,-1.39669643,0.74948623
46,1.18765872,-0.64566213,1.20359275,-0.74810400,0.00406235,0.10506521,0.00341867,0.00062857,102.32841342,117.90412799,143.27044850,0.00217095,0,1,3.76000000,0.01682920,-0.07639314,-2.19809515,-1.39716119,0.74937143
47,1.18908286,-0.65190305,1.20478842,-0.74744611,0.00542690,0.09870256,0.00393415,0.00025780,104.22201597,119.71696705,145.01032006,0.00200404,0,1,3.84000000,0.01503701,-0.07004753,-2.19669200,-1.39787052,0.74974220
48,1.19032883,-0.65765914,1.20457074,-0.74711769,0.00540364,0.09284592,0.00410269,0.00018165,105.02900371,121.46718902,146.68517393,0.00184996,0,1,3.92000000,0.01188992,-0.06465458,-2.19643581,-1.39796810,0.74981835
49,1.19135556,-0.66296094,1.20557368,-0.74657774,0.00654047,0.08746728,0.00474899,0.00006745,106.11075241,123.15755589,148.30987618,0.00170773,0,1,4.00000000,0.01059207,-0.05952501,-2.19553084,-1.39839389,0.75006745
50,1.19223407,-0.66784605,1.20490871,-0.74732498,0.00559027,0.08252019,0.00408896,0.00019319,107.25942749,124.79057558,149.84579879,0.00157644,0,1,4.08000000,0.00758618,-0.05640909,-2.19638508,-1.39808900,0.74980681
51,1.19306483,-0.67356174,1.20463178,-0.74759504,0.00521893,0.07675222,0.00377960,0.00033223,107.60887961,126.36872926,151.34212671,0.00145523,0,1,4.16000000,0.00521315,-0.05169007,-2.19682773,-1.39794523,0.74966777
52,1.19338711,-0.67668202,1.20491409,-0.74772191,0.00541646,0.07361560,0.00389762,0.00028511,108.10860139,127.89672512,152.79891615,0.00134335,0,1,4.24000000,0.00422574,-0.04987749,-2.19652511,-1.39823462,0.74971489
53,1.19374887,-0.68071572,1.20371189,-0.74843502,0.00402832,0.06956571,0.00310850,0.00068850,111.32696017,129.37204912,154.18200580,0.00124007,0,1,4.32000000,0.00150852,-0.04763391,-2.19783581,-1.39776861,0.74931150
54,1.19393476,-0.68458028,1.20328338,-0.74825136,0.00371999,0.06570028,0.00324134,0.00060982,112.76107153,130.79937575,155.55840018,0.00114473,0,1,4.40000000,0.00002443,-0.04447688,-2.19761483,-1.39780518,0.74939018
55,1.19397234,-0.68821420,1.20364768,-0.74850641,0.00394162,0.06207912,0.00326283,0.00057434,115.28664477,132.18083687,156.87402417,0.00105672,0,1,4.48000000,-0.00024172,-0.04208113,-2.19719859,-1.39832724,0.74942566
56,1.19395939,-0.69163819,1.20431595,-0.74811077,0.00471133,0.05867359,0.00339913,0.00051034,117.17072847,133.51834216,158.16586787,0.00097547,0,1,4.56000000,0.00000111,-0.03911316,-2.19709599,-1.39823341,0.74948966
57,1.19395365,-0.69483847,1.20367177,-0.74817893,0.00409856,0.05549191,0.00315625,0.00066211,118.23372143,134.81384151,159.40436243,0.00090047,0,1,4.64000000,-0.00126091,-0.03692572,-2.19776254,-1.39777387,0.74933789
58,1.19388306,-0.69784503,1.20362700,-0.74800879,0.00413764,0.05251245,0.00328726,0.00068317,121.07135612,136.06920585,160.61539616,0.00083124,0,1,4.72000000,-0.00165173,-0.03463936,-2.19809453,-1.39732133,0.74931683
59,1.19376030,-0.70067105,1.20326315,-0.74791698,0.00387132,0.04972202,0.00340889,0.00076427,122.16998974,137.28611883,161.78506070,0.00076733,0,1,4.80000000,-0.00229328,-0.03261744,-2.19854716,-1.39691621,0.74923573
60,1.19359224,-0.70332897,1.20355937,-0.74800193,0.00408183,0.04710885,0.00332102,0.00068531,122.83660235,138.46618624,162.91979423,0.00070834,0,1,4.88000000,-0.00202319,-0.03096261,-2.19814925,-1.39724249,0.74931469
