step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0.16000000,3.82511178,-3.01125862,2.00000000,0.00000000,0.00000000
2,-2.78579374,2.43136952,-6.10176729,7.00674645,10.65283629,5.09977095,8.08384602,2.85587140,0.00000000,0.00000000,0.00000000,0.06250000,1,0.24000000,-3.82376577,5.68628404,-2.64866616,6.67138558,-2.67731391
3,-2.90812194,2.67753122,-7.87194418,0.64555988,9.17865778,5.35019963,6.96062477,2.10994874,67.41930535,0.03716028,1.74485689,0.06250000,1,0.32000000,-5.90183502,-2.19443477,-6.66105946,3.94314941,-1.35994874
4,-3.33039508,2.69111369,-3.67658033,-2.65885249,5.23686486,5.68908982,4.00035088,1.03728389,42.01077191,0.05477767,1.79660935,0.06250000,1,0.40000000,-0.47222282,-6.17649751,-5.97018706,-0.06265312,-0.28728389
5,-3.49848360,2.29256339,1.36712771,-0.54425665,0.26506980,5.59758342,0.20476335,0.04894040,2.75100429,0.20608809,3.65541436,0.05827461,0,0.48000000,5.68709161,-3.21635613,-1.99910420,-1.36039055,0.79894040
6,-3.19133982,1.96421151,1.31853941,-0.61585886,0.17901239,5.16244220,0.13472068,0.03308485,3.84938096,0.47567454,5.25552004,0.05433489,0,0.56000000,5.20111725,-2.99646285,-2.06708082,-1.37804200,0.78308485
7,-2.76358705,1.71921704,1.23068955,-0.72529473,0.03939795,4.66980247,0.02851041,0.00723455,4.75671006,0.75680461,7.44810939,0.05066152,0,0.64000000,4.56805874,-2.93530644,-2.17153559,-1.39838110,0.75723455
8,-2.38294895,1.48292477,1.24093513,-0.71444697,0.05421903,4.22178590,0.03978101,0.00986079,5.02257736,1.31386516,11.20408700,0.04723648,0,0.72000000,4.15375981,-2.73302328,-2.16026697,-1.39804671,0.75986079
9,-2.04070499,1.25942811,1.22611366,-0.72491566,0.03620976,3.81313128,0.02039733,0.00558560,6.73442821,2.36669335,16.08861933,0.04404301,0,0.80000000,3.79111536,-2.54669580,-2.17989032,-1.39658648,0.75558560
10,-1.72871229,1.05122059,1.20522064,-0.74398691,0.00796319,3.43827738,0.00260924,0.00075447,8.18936973,3.99668849,21.28259649,0.04106543,0,0.88000000,3.47800258,-2.35234163,-2.20027404,-1.39740519,0.75075447
11,-1.44295738,0.85836876,1.19449219,-0.76128117,0.01255391,3.09387682,0.01214271,0.00278951,8.65037801,6.22159723,26.25558691,0.03828915,0,0.96000000,3.21099802,-2.13375815,-2.21189591,-1.40243571,0.74721049
12,-1.17966943,0.68242211,1.19270279,-0.76273871,0.01468074,2.77752762,0.01420010,0.00339595,8.95006505,9.02601959,30.97969583,0.03570057,0,1.04000000,2.96676931,-1.88020369,-2.21381127,-1.40330021,0.74660405
13,-0.93646640,0.52592050,1.18957493,-0.76342066,0.01699401,2.48846575,0.01618922,0.00367943,9.60482570,12.37396538,35.58259033,0.03328699,0,1.12000000,2.71684475,-1.62379417,-2.21611413,-1.40155745,0.74632057
14,-0.71312063,0.38986314,1.19180207,-0.75939568,0.01246936,2.22695274,0.01259186,0.00278225,10.08651882,16.21187496,40.35243045,0.03103658,0,1.20000000,2.46205436,-1.37614845,-2.21247182,-1.40173450,0.74721775
15,-0.51004131,0.27382777,1.19364261,-0.75395018,0.00748467,1.99310426,0.00981188,0.00178613,10.26644414,20.47104098,45.52252023,0.02893832,0,1.28000000,2.19633239,-1.15677535,-2.20981188,-1.40000592,0.74821387
16,-0.32795739,0.17602079,1.19151895,-0.76004725,0.01314821,1.78666401,0.01237913,0.00288307,11.09430497,25.07248596,51.03424689,0.02698191,0,1.36000000,1.92330043,-0.99291240,-2.21208344,-1.40268948,0.74711693
17,-0.16754059,0.09265508,1.19517032,-0.75647952,0.00808147,1.60631094,0.01025355,0.00225263,11.87395335,29.93214550,56.87945630,0.02515776,0,1.44000000,1.66738312,-0.86363791,-2.20998551,-1.40232912,0.74774737
