step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
0,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.00000000,0,0,0.08000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000
1,-3.00000000,2.60000000,0.00000000,0.00000000,1.41509717,5.37238308,4.42718872,0.75000000,0.00000000,0.00000000,,0.06250000,1,0,0.16000000,3.85000000,-0.07645719,2.00000000,0.00000000,0.00000000
2,-2.78440000,2.59571840,0.00000000,0.00000000,1.41509717,5.20281414,4.42718872,0.75000000,0.00000000,0.00000000,0.00000000,0.06250000,1,0,0.24000000,3.59111802,-0.06745914,2.00000000,0.00000000,0.00000000
3,-2.49089739,2.59010571,1.13787987,-0.88448239,0.14813650,4.97785393,0.09213900,0.02776480,1.22488187,0.02325085,1.13144912,0.06250000,1,1,0.32000000,4.60388499,-0.05847274,-2.28417193,-1.43747908,0.72223520
4,-2.05481530,2.58404277,1.14297322,-0.86611281,0.12936088,4.65936302,0.07726588,0.02209058,2.71111871,0.13065345,2.71348389,0.06250000,1,1,0.40000000,4.08588964,-0.04950965,-2.26991671,-1.43288873,0.72790942
5,-1.80758994,2.58103633,1.13502641,-0.86507738,0.13215283,4.48791714,0.08625479,0.02254700,4.35662897,0.50205590,5.39256569,0.05769477,0,1,0.48000000,3.76885091,-4.10086745,-2.27992376,-1.43243582,0.72745300
6,-1.49847294,2.35019952,1.24983102,-0.72176775,0.05727295,4.11010867,0.06529635,0.01396184,7.59697883,0.98258383,7.66729797,0.05325899,0,1,0.56000000,3.52501530,-3.64504445,-2.13582501,-1.41204925,0.76396184
7,-1.21061966,2.04765622,1.29284070,-0.66046376,0.12898114,3.69296188,0.11893744,0.02796860,11.19470818,1.74988177,10.49334748,0.04916424,0,1,0.64000000,3.22073010,-3.20222182,-2.08112262,-1.40377902,0.77796860
8,-0.88124380,1.71680629,1.23467754,-0.73000241,0.04003043,3.22749269,0.05100109,0.00985662,14.88469314,2.93320174,14.00452646,0.04538431,0,1,0.72000000,2.74541296,-2.88305178,-2.15084342,-1.41359196,0.75985662
9,-0.71461776,1.54254650,1.22280776,-0.73887427,0.02537668,2.98689314,0.03837684,0.00707283,15.37504217,4.78552331,18.48684540,0.04189500,0,1,0.80000000,2.52116322,-2.67956785,-2.16373702,-1.41256096,0.75707283
10,-0.50754271,1.32329746,1.20747735,-0.76073158,0.01307966,2.68593828,0.01669461,0.00068177,19.94119379,6.80566617,22.62921413,0.03867396,0,1,0.88000000,2.24444889,-2.43822695,-2.18963983,-1.41309110,0.75068177
11,-0.32134565,1.12244713,1.23132983,-0.73136169,0.03645469,2.41258178,0.04360221,0.00900203,23.49511962,9.21314377,27.06484505,0.03570057,0,1,0.96000000,2.04004448,-2.15800980,-2.15786928,-1.41123188,0.75900203
12,-0.15323639,0.94308113,1.22621625,-0.73385175,0.03079055,2.16743453,0.03568817,0.00732068,25.13471535,11.97074948,31.55469372,0.03295578,0,1,1.04000000,1.82283149,-1.94229491,-2.16565458,-1.40969728,0.75732068
13,-0.00219676,0.78252038,1.21543543,-0.73961615,0.01860315,1.94779253,0.02386010,0.00480124,27.37972797,15.02910678,36.11852504,0.03042202,0,1,1.12000000,1.61955386,-1.75353668,-2.17721552,-1.40708319,0.75480124
14,0.13224622,0.63770725,1.20772500,-0.75276215,0.00820397,1.75095104,0.01262820,0.00113057,31.23925628,18.33718698,40.66592089,0.02808306,0,1,1.20000000,1.44013506,-1.59296756,-2.19020394,-1.40796922,0.75113057
15,0.25176307,0.50641618,1.21966651,-0.74285209,0.02092521,1.57408224,0.02733755,0.00506761,35.31117392,21.84527483,45.30921004,0.02592393,0,1,1.28000000,1.30247301,-1.42136547,-2.17452207,-1.40991042,0.75506761
16,0.35926480,0.38858850,1.21311722,-0.74744542,0.01336366,1.41535135,0.02060992,0.00358455,37.86089808,25.50879569,49.92382697,0.02393081,0,1,1.36000000,1.15730687,-1.28370600,-2.18105375,-1.40811224,0.75358455
17,0.45533334,0.28258819,1.21401400,-0.75149193,0.01409320,1.27309340,0.01833168,0.00294014,43.93138905,29.28792531,54.47984555,0.02209092,0,1,1.44000000,1.03506517,-1.15994122,-2.18345367,-1.40789109,0.75294014
18,0.54107235,0.18682254,1.21040672,-0.75260380,0.01072751,1.14534803,0.01416980,0.00187637,46.31269175,33.14583682,59.01718351,0.02039249,0,1,1.52000000,0.92008498,-1.04527091,-2.18768741,-1.40701309,0.75187637
19,0.61743868,0.10044878,1.21120259,-0.75210683,0.01139898,1.03084471,0.01391608,0.00172880,47.69278037,37.05090560,63.47624302,0.01882464,0,1,1.60000000,0.82190756,-0.94025201,-2.18807439,-1.40717197,0.75172880
20,0.68554754,0.02270816,1.20968475,-0.75201773,0.00989270,0.92829911,0.01198959,0.00146838,48.69556105,40.97482333,67.86387572,0.01737733,0,1,1.68000000,0.73113432,-0.84637228,-2.18966729,-1.40608156,0.75146838
21,0.74621684,-0.04725473,1.21106565,-0.74910924,0.01110144,0.83652260,0.01298901,0.00204325,50.15490724,44.89318302,72.16609431,0.01604130,0,1,1.76000000,0.65303796,-0.75871154,-2.18822076,-1.40547393,0.75204325
22,0.80033419,-0.11005551,1.20923474,-0.74912569,0.00927603,0.75449434,0.01082995,0.00145116,53.00123441,48.78511174,76.33346884,0.01480798,0,1,1.84000000,0.57921917,-0.68340418,-2.19040467,-1.40502169,0.75145116
23,0.84844338,-0.16653522,1.20757067,-0.74983682,0.00757243,0.68119249,0.00882518,0.00100955,53.48170719,52.63297968,80.37889901,0.01366949,0,1,1.92000000,0.51307769,-0.61674540,-2.19228246,-1.40428057,0.75100955
24,0.89107699,-0.21747467,1.20837617,-0.74945183,0.00839409,0.61564329,0.01068087,0.00143982,54.32918883,56.42213523,84.30015546,0.01261853,0,1,2.00000000,0.45673496,-0.55563089,-2.19052431,-1.40492872,0.75143982
25,0.92896801,-0.26339189,1.21080644,-0.74586229,0.01157150,0.55699712,0.01333079,0.00230019,56.84829701,60.14077627,88.13019801,0.01164837,0,1,2.08000000,0.40829441,-0.49689133,-2.18773226,-1.40521656,0.75230019
26,0.96279414,-0.30455294,1.20692338,-0.74670341,0.00766816,0.50466791,0.01010117,0.00158020,60.32296558,63.77981240,91.80955138,0.01075280,0,1,2.16000000,0.35741339,-0.44935290,-2.19071522,-1.40397826,0.75158020
27,0.99260835,-0.34164210,1.20566492,-0.74659153,0.00661127,0.45800379,0.00804093,0.00120780,62.03821042,67.33202991,95.36129059,0.00992609,0,1,2.24000000,0.31474967,-0.40571818,-2.19251523,-1.40293851,0.75120780
28,1.01881225,-0.37514679,1.20613113,-0.74582309,0.00741871,0.41634593,0.00862861,0.00142745,62.25488755,70.79154014,98.79025989,0.00916294,0,1,2.32000000,0.27873691,-0.36574278,-2.19188518,-1.40293303,0.75142745
29,1.04197551,-0.40536562,1.20632507,-0.74622712,0.00736486,0.37913665,0.00882849,0.00151125,63.30069253,74.15421512,102.08301685,0.00845846,0,1,2.40000000,0.24629029,-0.33124878,-2.19166401,-1.40290749,0.75151125
30,1.06245746,-0.43269338,1.20559858,-0.74642758,0.00664125,0.34583442,0.00836703,0.00140889,63.49713098,77.41760216,105.26062106,0.00780814,0,1,2.48000000,0.21619565,-0.30009753,-2.19208516,-1.40271339,0.75140889
31,1.08047538,-0.45744881,1.20391648,-0.74883109,0.00408720,0.31602584,0.00501373,0.00038590,68.11522706,80.58058794,108.27682294,0.00720782,0,1,2.56000000,0.18814457,-0.27478151,-2.19540830,-1.40201338,0.75038590
32,1.09620017,-0.48003891,1.20514856,-0.74798338,0.00552942,0.28922896,0.00696242,0.00087887,69.08095825,83.64283370,111.23605455,0.00665366,0,1,2.64000000,0.16657007,-0.24825495,-2.19358234,-1.40269981,0.75087887
33,1.11004356,-0.50053595,1.20475909,-0.74880926,0.00490580,0.26518762,0.00649446,0.00074178,69.73511131,86.60488359,114.06451199,0.00614210,0,1,2.72000000,0.14552929,-0.22632936,-2.19403905,-1.40257781,0.75074178
34,1.12219089,-0.51916851,1.20538871,-0.74911409,0.00546104,0.24359276,0.00747236,0.00092700,70.72972255,89.46791449,116.79464244,0.00566987,0,1,2.80000000,0.12796259,-0.20608597,-2.19319334,-1.40308312,0.75092700
35,1.13540875,-0.54026295,1.20418949,-0.74825846,0.00453705,0.21945765,0.00720414,0.00109167,76.11545326,92.23357223,119.46357169,0.00523395,0,1,2.88000000,0.10712634,-0.18155557,-2.19321196,-1.40241291,0.75109167
36,1.14191967,-0.55125440,1.20650807,-0.74679973,0.00725235,0.20705829,0.00951610,0.00179080,79.61775483,94.91926530,122.04479801,0.00483155,0,1,2.96000000,0.09876320,-0.16847524,-2.19096584,-1.40299001,0.75179080
37,1.15002144,-0.56504635,1.20546080,-0.74749299,0.00600878,0.19158734,0.00833580,0.00142433,80.76349552,97.49494601,124.47981490,0.00446008,0,1,3.04000000,0.08464908,-0.15465784,-2.19211897,-1.40271570,0.75142433
38,1.15713211,-0.57775060,1.20645717,-0.74733766,0.00698449,0.17750356,0.00882874,0.00154698,81.57232071,99.97954754,126.84091946,0.00411717,0,1,3.12000000,0.07436727,-0.14116007,-2.19166496,-1.40291099,0.75154698
39,1.16332825,-0.58936735,1.20606653,-0.74706691,0.00673839,0.16476549,0.00814577,0.00143696,82.30239038,102.37625506,129.12390101,0.00380063,0,1,3.20000000,0.06370266,-0.12885359,-2.19224185,-1.40248286,0.75143696
40,1.16868042,-0.59997099,1.20590415,-0.74734291,0.00647450,0.15326324,0.00808531,0.00141902,82.51504563,104.68797798,131.31651208,0.00350842,0,1,3.28000000,0.05450241,-0.11843640,-2.19229985,-1.40246574,0.75141902
41,1.17326142,-0.60969592,1.20512832,-0.74827145,0.00541180,0.14282923,0.00787651,0.00136177,85.51488973,106.91754154,133.42383507,0.00323868,0,1,3.36000000,0.04566262,-0.10986731,-2.19249600,-1.40239359,0.75136177
42,1.17712658,-0.61869096,1.20387777,-0.74995296,0.00387805,0.13328637,0.00617640,0.00087756,88.87519589,109.06784325,135.43094461,0.00298968,0,1,3.44000000,0.03727694,-0.10308192,-2.19410578,-1.40184555,0.75087756
43,1.18105553,-0.62916200,1.20285963,-0.74993797,0.00286030,0.12231400,0.00464621,0.00053138,91.30586302,111.14185794,137.39787830,0.00275982,0,1,3.52000000,0.02925194,-0.09248792,-2.19548667,-1.40110323,0.75053138
44,1.18284275,-0.63475365,1.20291869,-0.74922717,0.00301927,0.11651649,0.00475797,0.00056059,93.32387672,113.14823707,139.31642227,0.00254764,0,1,3.60000000,0.02524166,-0.08690721,-2.19538261,-1.40114801,0.75056059
45,1.18495833,-0.64184017,1.20270366,-0.74985437,0.00270757,0.10920074,0.00419209,0.00039269,94.04290197,115.07798068,141.13763242,0.00235177,0,1,3.68000000,0.02065410,-0.08112626,-2.19592301,-1.40097559,0.75039269
46,1.18672076,-0.64846901,1.20251158,-0.74991611,0.00251298,0.10239570,0.00360202,0.00028225,94.75566467,116.93982698,142.90924495,0.00217095,0,1,3.76000000,0.01665735,-0.07519942,-2.19644877,-1.40060276,0.75028225
47,1.18814927,-0.65462721,1.20309537,-0.74942463,0.00314839,0.09610624,0.00419167,0.00047693,95.42055872,118.73678230,144.63800998,0.00200404,0,1,3.84000000,0.01412566,-0.06915277,-2.19587259,-1.40073115,0.75047693
48,1.18934008,-0.66030455,1.20294028,-0.74937231,0.00300654,0.09032667,0.00382767,0.00036576,96.16650513,120.47158702,146.29136140,0.00184996,0,1,3.92000000,0.01111988,-0.06418563,-2.19622344,-1.40062341,0.75036576
49,1.19030181,-0.66555861,1.20300336,-0.74952816,0.00304019,0.08499649,0.00393329,0.00030723,98.18438061,122.14688200,147.88434805,0.00170773,0,1,4.00000000,0.00877218,-0.05994832,-2.19617642,-1.40092252,0.75030723
50,1.19105993,-0.67045617,1.20321992,-0.74875274,0.00345305,0.08004465,0.00356380,0.00027605,101.19451495,123.76519857,149.44637218,0.00157644,0,1,4.08000000,0.00696860,-0.05499026,-2.19648223,-1.40057089,0.75027605
51,1.19166070,-0.67497439,1.20383464,-0.74877849,0.00402449,0.07548766,0.00365465,0.00026589,102.40710392,125.32901761,150.93972152,0.00145523,0,1,4.16000000,0.00594153,-0.05141504,-2.19641577,-1.40071394,0.75026589
52,1.19216067,-0.67917339,1.20419078,-0.74903043,0.00430148,0.07125913,0.00392554,0.00033655,103.55048276,126.84064936,152.38771529,0.00134335,0,1,4.24000000,0.00482949,-0.04845808,-2.19616341,-1.40083094,0.75033655
53,1.19257372,-0.68312101,1.20470514,-0.74904758,0.00480057,0.06729004,0.00426744,0.00037135,104.54632583,128.30241433,153.78860543,0.00124007,0,1,4.32000000,0.00411059,-0.04548264,-2.19588514,-1.40113092,0.75037135
54,1.19300203,-0.68774068,1.20486330,-0.74872385,0.00502794,0.06265137,0.00454485,0.00044024,104.98447470,129.71659153,155.15636891,0.00114473,0,1,4.40000000,0.00303961,-0.04125139,-2.19563243,-1.40125700,0.75044024
55,1.19318869,-0.69023269,1.20504765,-0.74881621,0.00518461,0.06015418,0.00450428,0.00049100,107.60173297,131.08704432,156.47745694,0.00105672,0,1,4.48000000,0.00237862,-0.04003071,-2.19562415,-1.40106792,0.75049100
56,1.19339485,-0.69346444,1.20481812,-0.74898357,0.00492416,0.05692009,0.00371550,0.00027327,109.43006424,132.41219527,157.73883671,0.00097547,0,1,4.56000000,0.00128115,-0.03796902,-2.19636310,-1.40076017,0.75027327
57,1.19352368,-0.69655145,1.20470726,-0.74897076,0.00481846,0.05383949,0.00376595,0.00031884,110.13288923,133.69575756,158.97965643,0.00090047,0,1,4.64000000,0.00049763,-0.03582035,-2.19629664,-1.40068375,0.75031884
58,1.19358229,-0.69946864,1.20451921,-0.74929643,0.00457365,0.05093727,0.00374437,0.00027673,110.65625128,134.93958724,160.16951937,0.00083124,0,1,4.72000000,-0.00022016,-0.03423619,-2.19633893,-1.40078540,0.75027673
59,1.19357751,-0.70293028,1.20427661,-0.74876856,0.00445038,0.04750586,0.00426348,0.00047312,114.06046030,136.14537919,161.35589278,0.00076733,0,1,4.80000000,-0.00085777,-0.03092826,-2.19581838,-1.40083148,0.75047312
60,1.19352859,-0.70479921,1.20410156,-0.74901713,0.00421768,0.04566170,0.00429550,0.00041788,115.60032163,137.31587460,162.47493436,0.00070834,0,1,4.88000000,-0.00129618,-0.03041657,-2.19583119,-1.40103555,0.75041788
